,0
GO:0005997,2.0
GO:0005998,1.0
GO:0006000,10.0
GO:0006002,11.0
GO:0006003,5.0
GO:0006004,7.0
GO:0006006,61.0
GO:0006007,5.0
GO:0006011,3.0
GO:0006012,7.0
GO:0006013,8.0
GO:0006014,1.0
GO:0006015,6.0
GO:0006020,7.0
GO:0006021,3.0
GO:0006024,19.0
GO:0006027,9.0
GO:0006029,9.0
GO:0006030,1.0
GO:0006032,6.0
GO:0006041,1.0
GO:0006043,2.0
GO:0006044,13.0
GO:0006045,2.0
GO:0006046,3.0
GO:0006047,6.0
GO:0006048,9.0
GO:0006049,1.0
GO:0006051,2.0
GO:0006054,4.0
GO:0006055,1.0
GO:0006062,1.0
GO:0006065,1.0
GO:0006066,6.0
GO:0006068,11.0
GO:0006069,9.0
GO:0006071,13.0
GO:0006072,5.0
GO:0006081,10.0
GO:0006082,7.0
GO:0006083,1.0
GO:0006084,5.0
GO:0006085,7.0
GO:0006086,7.0
GO:0006089,7.0
GO:0006090,12.0
GO:0006091,47.0
GO:0006094,48.0
GO:0006096,39.0
GO:0006097,2.0
GO:0006098,10.0
GO:0006099,33.0
GO:0006101,5.0
GO:0006102,6.0
GO:0006103,17.0
GO:0006104,5.0
GO:0006105,5.0
GO:0006106,1.0
GO:0006107,9.0
GO:0006108,9.0
GO:0006110,13.0
GO:0006111,15.0
GO:0006112,14.0
GO:0006114,3.0
GO:0006116,4.0
GO:0006119,12.0
GO:0006120,46.0
GO:0006121,5.0
GO:0006122,14.0
GO:0006123,24.0
GO:0006127,2.0
GO:0006139,33.0
GO:0006144,7.0
GO:0006145,1.0
GO:0006147,2.0
GO:0006148,2.0
GO:0006149,2.0
GO:0006152,1.0
GO:0006154,4.0
GO:0006157,3.0
GO:0006161,2.0
GO:0006163,3.0
GO:0006164,13.0
GO:0006166,7.0
GO:0006167,5.0
GO:0006168,1.0
GO:0006171,10.0
GO:0006172,5.0
GO:0006173,1.0
GO:0006175,1.0
GO:0006177,9.0
GO:0006178,1.0
GO:0006182,10.0
GO:0006183,11.0
GO:0006185,1.0
GO:0006188,3.0
GO:0006189,6.0
GO:0006193,1.0
GO:0006195,3.0
GO:0006196,5.0
GO:0006198,9.0
GO:0006203,2.0
GO:0006204,5.0
GO:0006206,1.0
GO:0006207,6.0
GO:0006208,2.0
GO:0006210,3.0
GO:0006211,3.0
GO:0006212,2.0
GO:0006213,3.0
GO:0006214,1.0
GO:0006218,2.0
GO:0006220,4.0
GO:0006221,2.0
GO:0006222,1.0
GO:0006225,4.0
GO:0006226,2.0
GO:0006227,2.0
GO:0006228,10.0
GO:0006231,3.0
GO:0006233,2.0
GO:0006235,4.0
GO:0006241,11.0
GO:0006248,4.0
GO:0006249,6.0
GO:0006253,1.0
GO:0006254,1.0
GO:0006256,3.0
GO:0006258,1.0
GO:0006259,16.0
GO:0006260,91.0
GO:0006261,28.0
GO:0006264,10.0
GO:0006265,10.0
GO:0006266,7.0
GO:0006268,21.0
GO:0006269,5.0
GO:0006270,26.0
GO:0006271,8.0
GO:0006272,4.0
GO:0006273,3.0
GO:0006275,46.0
GO:0006278,2.0
GO:0006281,245.0
GO:0006282,58.0
GO:0006283,10.0
GO:0006284,29.0
GO:0006285,5.0
GO:0006287,14.0
GO:0006288,1.0
GO:0006289,43.0
GO:0006290,4.0
GO:0006294,1.0
GO:0006297,5.0
GO:0006298,30.0
GO:0006301,9.0
GO:0006302,71.0
GO:0006303,36.0
GO:0006304,3.0
GO:0006306,25.0
